t,d,Az_tx,El_tx,Az_rx,El_rx,Lfs,Gt,Gr,Gtotal_actual,Pr,Margin,Margin_omni_ref,G_total_required
34,3970.59617496995,-45.1666666666667,11.2721762991999,131.458696446201,-16.0254080740977,118.317001598089,0.0367339626203692,0.874469858212158,0.911203820832527,-97.4057977772564,-7.40579777725642,-8.31700159808895,11.317001598089
35,4007.51074096342,-44.5833333333333,11.2617346942303,130.895955679972,-15.954344369043,118.397381101103,0.102155404445624,0.874904854983607,0.977060259429232,-97.4203208416736,-7.42032084167359,-8.39738110110282,11.3973811011028
36,4044.04778224769,-44,11.2522250795064,130.331313900959,-15.8811506153443,118.476212767242,0.167255035448644,0.875469669323034,1.04272470477168,-97.4334880624705,-7.4334880624705,-8.47621276724219,11.4762127672422
37,4080.19903384782,-43.4166666666667,11.2435792141751,129.764915486085,-15.8058659614317,118.553514174085,0.231899791975731,0.876142083699642,1.10804187567537,-97.4454722984099,-7.4454722984099,-8.55351417408527,11.5535141740853
38,4115.95649992019,-42.8333333333333,11.235731209706,129.196911009432,-15.7285370385756,118.629302724771,0.296085989322386,0.876916976998194,1.17300296632058,-97.45629975845,-7.45629975844999,-8.62930272477057,11.6293027247706
39,4151.31245867905,-42.25,11.2286174120746,128.627457193608,-15.649217796881,118.703595657444,0.359757377849582,0.877788848247476,1.23754622609706,-97.466049431347,-7.46604943134702,-8.70359565744408,11.7035956574441
40,4186.25946718415,-41.6666666666667,11.2221762903156,128.056716849824,-15.5679693190024,118.776410054588,0.422860992352864,0.878751847818944,1.30161284017181,-97.4747972144167,-7.47479721441667,-8.77641005458847,11.7764100545885
41,4220.79036598374,-41.0833333333333,11.2163483310925,127.484858806432,-15.4848596102062,118.847762852232,0.485346903263229,0.879810816801549,1.36515772006478,-97.4826051321668,-7.48260513216682,-8.8477628522316,11.8477628522316
42,4254.89828360729,-40.5,11.2110759389562,126.912057825683,-15.3999633635929,118.917670849032,0.547169851376011,0.880996967201795,1.42816681857781,-97.4895040304545,-7.48950403045447,-8.91767084903228,11.9176708490323
43,4288.5766409026,-39.9166666666667,11.2063033419819,126.338494508535,-15.3133616995113,118.986150715241,0.608184575669451,0.882255801694743,1.49044037736419,-97.4957103378773,-7.49571033787726,-8.98615071524145,11.9861507152415
44,4321.8191552123,-39.3333333333333,11.2019765024993,125.76435518733,-15.2251418784266,119.053219001538,0.668445696933609,0.883580380535102,1.55202607746871,-97.5011929240694,-7.50119292406939,-9.0532190015381,12.0532190015381
45,4354.61984438485,-38.75,11.1980430326471,125.189831806175,-15.1353969867449,119.118892147739,0.727916609533891,0.884963608869867,1.61288021840376,-97.5060119293357,-7.50601192933573,-9.11889214773949,12.1188921477395
46,4386.97303061546,-38.1666666666667,11.1944521145004,124.615121788931,-15.0442255953753,119.183186491385,0.786563705266191,0.886398281283989,1.67296198655018,-97.5102245048348,-7.51022450483478,-9.18318649138496,12.183186491385
47,4418.87334411262,-37.5833333333333,11.1911544245401,124.040427894701,-14.9517313910773,119.246118276194,0.844356380249795,0.887899716876874,1.73225609712667,-97.5138621790673,-7.51386217906732,-9.24611827619398,12.246118276194
48,4450.31572658603,-37,11.1881020622418,123.465958060748,-14.8580227809355,119.307703660398,0.901265360394254,0.889463949800607,1.79072931019486,-97.5169743502036,-7.51697435020357,-9.30770366039843,12.3077036603984
49,4481.29543455209,-36.4166666666667,11.1852484825853,122.891925232804,-14.763212470606,119.367958724949,0.957146972593014,0.891063375811921,1.84821034840494,-97.5197483765446,-7.51974837654456,-9.36795872494949,12.3679587249495
50,4511.80804245314,-35.8333333333333,11.1825484322904,122.318547182775,-14.6674170172791,119.4268994816,1.01209199563769,0.892685698708637,1.90477769434632,-97.5221217872533,-7.52212178725328,-9.42689948159961,12.4268994815996
51,4541.84944558706,-35.25,11.1799578896045,121.746046313848,-14.5707563586114,119.48454188086,1.06607910387307,0.894323791351055,1.96040289522413,-97.5241389856362,-7.52413898563617,-9.48454188086029,12.4845418808603
52,4571.4158628439,-34.6666666666667,11.1774340074746,121.174649453072,-14.4733533191874,119.540901819836,1.11909155952888,0.895980763190626,2.0150723227195,-97.5258294971163,-7.52582949711631,-9.54090181983581,12.5409018198358
